document_id,fold,role
train:1,0,train
train:2,0,train
train:3,0,train
train:4,0,train
train:5,0,train
train:6,0,train
train:7,0,train
train:8,0,train
train:9,0,train
train:10,0,train
train:12,0,train
train:13,0,train
train:16,0,train
train:17,0,train
train:18,0,train
train:19,0,train
train:20,0,train
train:21,0,train
train:22,0,train
train:23,0,train
train:24,0,train
train:27,0,train
train:28,0,train
train:29,0,train
train:31,0,train
train:33,0,train
train:35,0,train
train:36,0,train
train:37,0,train
train:39,0,train
train:41,0,train
train:42,0,train
train:43,0,train
train:44,0,train
train:45,0,train
train:46,0,train
train:47,0,train
train:48,0,train
train:49,0,train
train:50,0,train
train:51,0,train
train:53,0,train
train:55,0,train
train:57,0,train
train:59,0,train
train:60,0,train
train:61,0,train
train:62,0,train
train:63,0,train
train:64,0,train
train:66,0,train
train:67,0,train
train:68,0,train
train:69,0,train
train:70,0,train
train:71,0,train
train:72,0,train
train:73,0,train
train:75,0,train
train:76,0,train
train:77,0,train
train:78,0,train
train:79,0,train
train:80,0,train
train:81,0,train
train:82,0,train
train:83,0,train
train:84,0,train
train:85,0,train
train:86,0,train
train:87,0,train
train:88,0,train
train:89,0,train
train:90,0,train
train:92,0,train
train:93,0,train
train:94,0,train
train:96,0,train
train:97,0,train
train:98,0,train
train:99,0,train
train:100,0,train
train:101,0,train
train:102,0,train
train:103,0,train
train:105,0,train
train:107,0,train
train:108,0,train
train:109,0,train
train:110,0,train
train:111,0,train
train:112,0,train
train:113,0,train
train:115,0,train
train:116,0,train
train:118,0,train
train:119,0,train
train:120,0,train
train:121,0,train
train:122,0,train
train:123,0,train
train:125,0,train
train:126,0,train
train:127,0,train
train:130,0,train
train:131,0,train
train:132,0,train
train:133,0,train
train:134,0,train
train:136,0,train
train:137,0,train
train:138,0,train
train:140,0,train
train:141,0,train
train:142,0,train
train:143,0,train
train:144,0,train
train:145,0,train
train:146,0,train
train:147,0,train
train:148,0,train
train:151,0,train
train:152,0,train
train:153,0,train
train:155,0,train
train:156,0,train
train:157,0,train
train:161,0,train
train:162,0,train
train:163,0,train
train:164,0,train
train:165,0,train
train:0,0,validation
train:11,0,validation
train:14,0,validation
train:15,0,validation
train:25,0,validation
train:26,0,validation
train:30,0,validation
train:32,0,validation
train:34,0,validation
train:38,0,validation
train:40,0,validation
train:52,0,validation
train:54,0,validation
train:56,0,validation
train:58,0,validation
train:65,0,validation
train:74,0,validation
train:91,0,validation
train:95,0,validation
train:104,0,validation
train:106,0,validation
train:114,0,validation
train:117,0,validation
train:124,0,validation
train:128,0,validation
train:129,0,validation
train:135,0,validation
train:139,0,validation
train:149,0,validation
train:150,0,validation
train:154,0,validation
train:158,0,validation
train:159,0,validation
train:160,0,validation
train:0,1,train
train:2,1,train
train:3,1,train
train:5,1,train
train:6,1,train
train:8,1,train
train:9,1,train
train:11,1,train
train:12,1,train
train:13,1,train
train:14,1,train
train:15,1,train
train:16,1,train
train:17,1,train
train:18,1,train
train:19,1,train
train:20,1,train
train:21,1,train
train:23,1,train
train:24,1,train
train:25,1,train
train:26,1,train
train:27,1,train
train:30,1,train
train:31,1,train
train:32,1,train
train:33,1,train
train:34,1,train
train:35,1,train
train:36,1,train
train:37,1,train
train:38,1,train
train:40,1,train
train:41,1,train
train:42,1,train
train:44,1,train
train:45,1,train
train:46,1,train
train:49,1,train
train:50,1,train
train:51,1,train
train:52,1,train
train:53,1,train
train:54,1,train
train:55,1,train
train:56,1,train
train:57,1,train
train:58,1,train
train:59,1,train
train:60,1,train
train:62,1,train
train:64,1,train
train:65,1,train
train:66,1,train
train:67,1,train
train:68,1,train
train:69,1,train
train:71,1,train
train:72,1,train
train:73,1,train
train:74,1,train
train:75,1,train
train:76,1,train
train:78,1,train
train:79,1,train
train:80,1,train
train:81,1,train
train:84,1,train
train:85,1,train
train:88,1,train
train:89,1,train
train:90,1,train
train:91,1,train
train:92,1,train
train:93,1,train
train:95,1,train
train:96,1,train
train:98,1,train
train:99,1,train
train:100,1,train
train:101,1,train
train:102,1,train
train:103,1,train
train:104,1,train
train:105,1,train
train:106,1,train
train:107,1,train
train:108,1,train
train:109,1,train
train:110,1,train
train:111,1,train
train:113,1,train
train:114,1,train
train:115,1,train
train:116,1,train
train:117,1,train
train:118,1,train
train:120,1,train
train:121,1,train
train:122,1,train
train:123,1,train
train:124,1,train
train:125,1,train
train:126,1,train
train:127,1,train
train:128,1,train
train:129,1,train
train:131,1,train
train:132,1,train
train:133,1,train
train:134,1,train
train:135,1,train
train:138,1,train
train:139,1,train
train:140,1,train
train:143,1,train
train:145,1,train
train:146,1,train
train:147,1,train
train:148,1,train
train:149,1,train
train:150,1,train
train:152,1,train
train:153,1,train
train:154,1,train
train:155,1,train
train:158,1,train
train:159,1,train
train:160,1,train
train:161,1,train
train:162,1,train
train:164,1,train
train:165,1,train
train:1,1,validation
train:4,1,validation
train:7,1,validation
train:10,1,validation
train:22,1,validation
train:28,1,validation
train:29,1,validation
train:39,1,validation
train:43,1,validation
train:47,1,validation
train:48,1,validation
train:61,1,validation
train:63,1,validation
train:70,1,validation
train:77,1,validation
train:82,1,validation
train:83,1,validation
train:86,1,validation
train:87,1,validation
train:94,1,validation
train:97,1,validation
train:112,1,validation
train:119,1,validation
train:130,1,validation
train:136,1,validation
train:137,1,validation
train:141,1,validation
train:142,1,validation
train:144,1,validation
train:151,1,validation
train:156,1,validation
train:157,1,validation
train:163,1,validation
train:0,2,train
train:1,2,train
train:3,2,train
train:4,2,train
train:5,2,train
train:6,2,train
train:7,2,train
train:8,2,train
train:9,2,train
train:10,2,train
train:11,2,train
train:12,2,train
train:13,2,train
train:14,2,train
train:15,2,train
train:17,2,train
train:19,2,train
train:20,2,train
train:21,2,train
train:22,2,train
train:23,2,train
train:24,2,train
train:25,2,train
train:26,2,train
train:28,2,train
train:29,2,train
train:30,2,train
train:32,2,train
train:33,2,train
train:34,2,train
train:35,2,train
train:36,2,train
train:37,2,train
train:38,2,train
train:39,2,train
train:40,2,train
train:42,2,train
train:43,2,train
train:44,2,train
train:46,2,train
train:47,2,train
train:48,2,train
train:51,2,train
train:52,2,train
train:53,2,train
train:54,2,train
train:55,2,train
train:56,2,train
train:57,2,train
train:58,2,train
train:59,2,train
train:60,2,train
train:61,2,train
train:63,2,train
train:65,2,train
train:66,2,train
train:67,2,train
train:69,2,train
train:70,2,train
train:71,2,train
train:74,2,train
train:76,2,train
train:77,2,train
train:78,2,train
train:81,2,train
train:82,2,train
train:83,2,train
train:84,2,train
train:86,2,train
train:87,2,train
train:89,2,train
train:90,2,train
train:91,2,train
train:92,2,train
train:94,2,train
train:95,2,train
train:97,2,train
train:98,2,train
train:99,2,train
train:100,2,train
train:101,2,train
train:102,2,train
train:104,2,train
train:106,2,train
train:108,2,train
train:110,2,train
train:111,2,train
train:112,2,train
train:114,2,train
train:115,2,train
train:116,2,train
train:117,2,train
train:118,2,train
train:119,2,train
train:120,2,train
train:121,2,train
train:122,2,train
train:124,2,train
train:125,2,train
train:126,2,train
train:127,2,train
train:128,2,train
train:129,2,train
train:130,2,train
train:131,2,train
train:135,2,train
train:136,2,train
train:137,2,train
train:138,2,train
train:139,2,train
train:140,2,train
train:141,2,train
train:142,2,train
train:144,2,train
