split,label,pos,count,percentage
test,0,ADJ,6,4.411764705882353
test,0,ADP,11,8.088235294117647
test,0,ADV,4,2.9411764705882355
test,0,AUX,15,11.029411764705882
test,0,CCONJ,9,6.617647058823529
test,0,DET,14,10.294117647058824
test,0,INTJ,2,1.4705882352941178
test,0,NOUN,20,14.705882352941176
test,0,PART,3,2.2058823529411766
test,0,PRON,12,8.823529411764707
test,0,PROPN,16,11.764705882352942
test,0,PUNCT,6,4.411764705882353
test,0,SCONJ,3,2.2058823529411766
test,0,VERB,15,11.029411764705882
test,1,ADJ,2,2.4096385542168677
test,1,ADP,7,8.433734939759036
test,1,ADV,6,7.228915662650603
test,1,AUX,4,4.819277108433735
test,1,CCONJ,7,8.433734939759036
test,1,DET,11,13.25301204819277
test,1,INTJ,4,4.819277108433735
test,1,NOUN,8,9.63855421686747
test,1,NUM,1,1.2048192771084338
test,1,PART,1,1.2048192771084338
test,1,PRON,9,10.843373493975903
test,1,PROPN,11,13.25301204819277
test,1,PUNCT,5,6.024096385542169
test,1,VERB,7,8.433734939759036
train,0,ADJ,5,1.893939393939394
train,0,ADP,30,11.363636363636363
train,0,ADV,6,2.272727272727273
train,0,AUX,20,7.575757575757576
train,0,CCONJ,9,3.409090909090909
train,0,DET,30,11.363636363636363
train,0,INTJ,2,0.7575757575757576
train,0,NOUN,43,16.28787878787879
train,0,NUM,1,0.3787878787878788
train,0,PART,4,1.5151515151515151
train,0,PRON,24,9.090909090909092
train,0,PROPN,53,20.075757575757574
train,0,PUNCT,11,4.166666666666667
train,0,SCONJ,3,1.1363636363636365
train,0,VERB,23,8.712121212121213
train,1,ADJ,5,2.9411764705882355
train,1,ADP,19,11.176470588235293
train,1,ADV,6,3.5294117647058822
train,1,AUX,5,2.9411764705882355
train,1,CCONJ,3,1.7647058823529411
train,1,DET,10,5.882352941176471
train,1,INTJ,2,1.1764705882352942
train,1,NOUN,30,17.647058823529413
train,1,NUM,4,2.3529411764705883
train,1,PRON,21,12.352941176470589
train,1,PROPN,30,17.647058823529413
train,1,PUNCT,16,9.411764705882353
train,1,SCONJ,1,0.5882352941176471
train,1,VERB,18,10.588235294117647
