split,label,pos,count,percentage
test,0,ADJ,4,4.3478260869565215
test,0,ADP,4,4.3478260869565215
test,0,ADV,2,2.1739130434782608
test,0,AUX,7,7.608695652173913
test,0,CCONJ,8,8.695652173913043
test,0,DET,12,13.043478260869565
test,0,INTJ,2,2.1739130434782608
test,0,NOUN,16,17.391304347826086
test,0,NUM,1,1.0869565217391304
test,0,PART,2,2.1739130434782608
test,0,PRON,12,13.043478260869565
test,0,PROPN,12,13.043478260869565
test,0,PUNCT,4,4.3478260869565215
test,0,SCONJ,1,1.0869565217391304
test,0,VERB,5,5.434782608695652
test,1,ADJ,2,1.6528925619834711
test,1,ADP,13,10.743801652892563
test,1,ADV,3,2.479338842975207
test,1,AUX,6,4.958677685950414
test,1,CCONJ,1,0.8264462809917356
test,1,DET,8,6.6115702479338845
test,1,INTJ,4,3.3057851239669422
test,1,NOUN,12,9.917355371900827
test,1,NUM,1,0.8264462809917356
test,1,PART,5,4.132231404958677
test,1,PRON,23,19.00826446280992
test,1,PROPN,23,19.00826446280992
test,1,PUNCT,7,5.785123966942149
test,1,SCONJ,1,0.8264462809917356
test,1,VERB,12,9.917355371900827
train,0,ADJ,5,2.4038461538461537
train,0,ADP,20,9.615384615384615
train,0,ADV,8,3.8461538461538463
train,0,AUX,16,7.6923076923076925
train,0,CCONJ,7,3.3653846153846154
train,0,DET,31,14.903846153846153
train,0,INTJ,4,1.9230769230769231
train,0,NOUN,19,9.134615384615385
train,0,NUM,1,0.4807692307692308
train,0,PART,10,4.8076923076923075
train,0,PRON,17,8.173076923076923
train,0,PROPN,38,18.26923076923077
train,0,PUNCT,7,3.3653846153846154
train,0,SCONJ,1,0.4807692307692308
train,0,VERB,24,11.538461538461538
train,1,ADJ,7,2.4734982332155475
train,1,ADP,23,8.12720848056537
train,1,ADV,8,2.8268551236749118
train,1,AUX,23,8.12720848056537
train,1,CCONJ,11,3.8869257950530036
train,1,DET,20,7.067137809187279
train,1,INTJ,3,1.0600706713780919
train,1,NOUN,28,9.89399293286219
train,1,NUM,1,0.35335689045936397
train,1,PART,7,2.4734982332155475
train,1,PRON,29,10.247349823321555
train,1,PROPN,64,22.614840989399294
train,1,PUNCT,24,8.480565371024735
train,1,SCONJ,5,1.7667844522968197
train,1,VERB,27,9.540636042402827
train,1,X,3,1.0600706713780919
