split,label,pos,count,percentage
test,0,ADJ,133,3.2494502809675057
test,0,ADP,376,9.186415831908135
test,0,ADV,88,2.1500122159785
test,0,AUX,319,7.793794282922062
test,0,CCONJ,183,4.47104813095529
test,0,DET,504,12.313706327876863
test,0,INTJ,30,0.7329587099926704
test,0,NOUN,588,14.36599071585634
test,0,NUM,35,0.8551184949914488
test,0,PART,61,1.4903493769850964
test,0,PRON,322,7.867090153921329
test,0,PROPN,762,18.61715123381383
test,0,PUNCT,173,4.226728560957732
test,0,SCONJ,54,1.3193256779868068
test,0,VERB,465,11.36086000488639
test,1,ADJ,81,2.2823330515638207
test,1,ADP,266,7.495069033530572
test,1,ADV,112,3.155818540433925
test,1,AUX,230,6.480698788391096
test,1,CCONJ,121,3.4094111017187942
test,1,DET,319,8.988447449985912
test,1,INTJ,57,1.606086221470837
test,1,NOUN,415,11.693434770357847
test,1,NUM,16,0.4508312200619893
test,1,PART,82,2.3105100028176953
test,1,PRON,386,10.876303183995491
test,1,PROPN,756,21.301775147928993
test,1,PUNCT,233,6.565229642152719
test,1,SCONJ,40,1.1270780501549733
test,1,VERB,431,12.144265990419836
test,1,X,4,0.11270780501549732
train,0,ADJ,259,2.8650442477876106
train,0,ADP,806,8.915929203539823
train,0,ADV,202,2.234513274336283
train,0,AUX,703,7.7765486725663715
train,0,CCONJ,294,3.252212389380531
train,0,DET,1095,12.11283185840708
train,0,INTJ,90,0.995575221238938
train,0,NOUN,1299,14.369469026548673
train,0,NUM,74,0.8185840707964602
train,0,PART,147,1.6261061946902655
train,0,PRON,811,8.971238938053098
train,0,PROPN,1722,19.048672566371682
train,0,PUNCT,395,4.369469026548672
train,0,SCONJ,107,1.1836283185840708
train,0,VERB,1034,11.438053097345133
train,0,X,2,0.022123893805309734
train,1,ADJ,166,2.0724094881398254
train,1,ADP,579,7.228464419475656
train,1,ADV,264,3.295880149812734
train,1,AUX,494,6.16729088639201
train,1,CCONJ,266,3.320848938826467
train,1,DET,761,9.500624219725344
train,1,INTJ,111,1.3857677902621723
train,1,NOUN,962,12.009987515605493
train,1,NUM,49,0.6117353308364545
train,1,PART,109,1.3607990012484394
train,1,PRON,849,10.599250936329588
train,1,PROPN,1785,22.284644194756556
train,1,PUNCT,649,8.102372034956305
train,1,SCONJ,76,0.9488139825218477
train,1,VERB,884,11.036204744069913
train,1,X,6,0.0749063670411985
