split,label,pos,count,percentage
test,0,ADJ,117,3.265420039073402
test,0,ADP,332,9.265978230533072
test,0,ADV,82,2.288584984649735
test,0,AUX,294,8.205414457158806
test,0,CCONJ,164,4.57716996929947
test,0,DET,426,11.889478090985207
test,0,INTJ,30,0.8372871895060006
test,0,NOUN,506,14.122243929667876
test,0,NUM,26,0.7256488975718671
test,0,PART,54,1.507116941110801
test,0,PRON,288,8.037957019257606
test,0,PROPN,652,18.197041585263744
test,0,PUNCT,151,4.214345520513536
test,0,SCONJ,47,1.3117499302260676
test,0,VERB,414,11.554563215182808
test,1,ADJ,72,2.2229083050324174
test,1,ADP,241,7.440568076566842
test,1,ADV,108,3.334362457548626
test,1,AUX,206,6.359987650509416
test,1,CCONJ,114,3.5196048163013276
test,1,DET,282,8.706390861376969
test,1,INTJ,53,1.6363075023155296
test,1,NOUN,378,11.670268601420192
test,1,NUM,15,0.46310589688175363
test,1,PART,73,2.253782031491201
test,1,PRON,361,11.14541525162087
test,1,PROPN,698,21.549861068230936
test,1,PUNCT,218,6.730472368014819
test,1,SCONJ,39,1.2040753318925594
test,1,VERB,377,11.639394874961408
test,1,X,4,0.1234949058351343
train,0,ADJ,220,2.7753248391573107
train,0,ADP,710,8.956730162734956
train,0,ADV,192,2.4221016778100166
train,0,AUX,617,7.78352466254573
train,0,CCONJ,265,3.343004919894033
train,0,DET,962,12.135738614860603
train,0,INTJ,78,0.9839788066103191
train,0,NOUN,1114,14.0532357764602
train,0,NUM,62,0.7821370001261512
train,0,PART,126,1.5895042260628232
train,0,PRON,714,9.007190614355999
train,0,PROPN,1515,19.11189605146966
train,0,PUNCT,349,4.402674403935915
train,0,SCONJ,101,1.2741264034313107
train,0,VERB,900,11.353601614734451
train,0,X,2,0.025230225810521003
train,1,ADJ,150,2.0573309559731174
train,1,ADP,513,7.036071869428062
train,1,ADV,255,3.4974626251543
train,1,AUX,452,6.199423947332328
train,1,CCONJ,248,3.4014538472088875
train,1,DET,669,9.175696063640105
train,1,INTJ,104,1.4264161294746949
train,1,NOUN,866,11.877657385818132
train,1,NUM,47,0.6446303662049102
train,1,PART,96,1.3166918118227953
train,1,PRON,779,10.684405431353724
train,1,PROPN,1645,22.562062817171856
train,1,PUNCT,613,8.407625840076808
train,1,SCONJ,69,0.9463722397476341
train,1,VERB,780,10.698120971060211
train,1,X,5,0.06857769853243725
