split,label,pos,count,percentage
test,0,ADJ,118,3.1823085221143472
test,0,ADP,343,9.250269687162891
test,0,ADV,87,2.3462783171521036
test,0,AUX,289,7.793959007551241
test,0,CCONJ,160,4.314994606256742
test,0,DET,456,12.297734627831716
test,0,INTJ,28,0.7551240560949298
test,0,NOUN,533,14.374325782092772
test,0,NUM,32,0.8629989212513485
test,0,PART,52,1.4023732470334411
test,0,PRON,296,7.982740021574973
test,0,PROPN,691,18.635382955771306
test,0,PUNCT,151,4.0722761596548
test,0,SCONJ,50,1.348435814455232
test,0,VERB,422,11.380798274002158
test,1,ADJ,74,2.294573643410853
test,1,ADP,234,7.255813953488372
test,1,ADV,111,3.441860465116279
test,1,AUX,215,6.666666666666667
test,1,CCONJ,106,3.2868217054263567
test,1,DET,280,8.682170542635658
test,1,INTJ,50,1.550387596899225
test,1,NOUN,369,11.44186046511628
test,1,NUM,15,0.46511627906976744
test,1,PART,72,2.2325581395348837
test,1,PRON,346,10.728682170542635
test,1,PROPN,698,21.643410852713178
test,1,PUNCT,222,6.883720930232558
test,1,SCONJ,36,1.1162790697674418
test,1,VERB,393,12.186046511627907
test,1,X,4,0.12403100775193798
train,0,ADJ,240,2.9311187103077674
train,0,ADP,751,9.171958964338057
train,0,ADV,178,2.1739130434782608
train,0,AUX,639,7.8041035661944305
train,0,CCONJ,269,3.2852955544699562
train,0,DET,980,11.968734733756717
train,0,INTJ,76,0.9281875915974597
train,0,NOUN,1168,14.2647777234978
train,0,NUM,67,0.8182706399609184
train,0,PART,127,1.5510503175378603
train,0,PRON,750,9.159745969711773
train,0,PROPN,1570,19.174401563263313
train,0,PUNCT,356,4.3478260869565215
train,0,SCONJ,97,1.1846604787493893
train,0,VERB,918,11.211529066927211
train,0,X,2,0.024425989252564728
train,1,ADJ,156,2.111246447421843
train,1,ADP,527,7.132223575585329
train,1,ADV,262,3.5458113411828394
train,1,AUX,461,6.239003924753011
train,1,CCONJ,249,3.3698741372310193
train,1,DET,697,9.43294085803221
train,1,INTJ,98,1.3262958451752604
train,1,NOUN,886,11.990797130870213
train,1,NUM,44,0.5954797672215455
train,1,PART,96,1.2992285830288266
train,1,PRON,787,10.650967654621734
train,1,PROPN,1651,22.344024901881173
train,1,PUNCT,614,8.309649478955203
train,1,SCONJ,66,0.8932196508323184
train,1,VERB,791,10.705102178914602
train,1,X,4,0.054134524292867775
