split,label,pos,count,percentage
test,0,ADJ,100,2.963841138114997
test,0,ADP,299,8.861885002963842
test,0,ADV,79,2.3414344991108478
test,0,AUX,257,7.617071724955542
test,0,CCONJ,159,4.712507409602845
test,0,DET,417,12.359217545939538
test,0,INTJ,24,0.7113218731475993
test,0,NOUN,489,14.493183165382336
test,0,NUM,24,0.7113218731475993
test,0,PART,49,1.4522821576763485
test,0,PRON,280,8.298755186721992
test,0,PROPN,635,18.820391227030232
test,0,PUNCT,142,4.208654416123296
test,0,SCONJ,40,1.1855364552459988
test,0,VERB,380,11.26259632483699
test,1,ADJ,61,2.1661931818181817
test,1,ADP,208,7.386363636363637
test,1,ADV,103,3.6576704545454546
test,1,AUX,191,6.782670454545454
test,1,CCONJ,91,3.231534090909091
test,1,DET,246,8.735795454545455
test,1,INTJ,43,1.5269886363636365
test,1,NOUN,332,11.789772727272727
test,1,NUM,13,0.4616477272727273
test,1,PART,64,2.272727272727273
test,1,PRON,311,11.044034090909092
test,1,PROPN,603,21.413352272727273
test,1,PUNCT,177,6.285511363636363
test,1,SCONJ,29,1.0298295454545454
test,1,VERB,341,12.109375
test,1,X,3,0.10653409090909091
train,0,ADJ,212,2.8843537414965987
train,0,ADP,669,9.10204081632653
train,0,ADV,163,2.2176870748299318
train,0,AUX,551,7.496598639455782
train,0,CCONJ,232,3.1564625850340136
train,0,DET,899,12.231292517006803
train,0,INTJ,77,1.0476190476190477
train,0,NOUN,1065,14.489795918367347
train,0,NUM,62,0.8435374149659864
train,0,PART,122,1.6598639455782314
train,0,PRON,652,8.870748299319727
train,0,PROPN,1404,19.102040816326532
train,0,PUNCT,327,4.448979591836735
train,0,SCONJ,88,1.1972789115646258
train,0,VERB,825,11.224489795918368
train,0,X,2,0.027210884353741496
train,1,ADJ,138,2.120792992162287
train,1,ADP,477,7.330567081604426
train,1,ADV,214,3.2887659443676043
train,1,AUX,394,6.055017673274935
train,1,CCONJ,219,3.3656062701705856
train,1,DET,607,9.328415552481943
train,1,INTJ,79,1.2140771476871062
train,1,NOUN,801,12.309820193637622
train,1,NUM,40,0.6147226064238512
train,1,PART,83,1.2755494083294914
train,1,PRON,659,10.12755494083295
train,1,PROPN,1500,23.05209774089442
train,1,PUNCT,542,8.329491317043184
train,1,SCONJ,60,0.9220839096357769
train,1,VERB,688,10.57322883049024
train,1,X,6,0.09220839096357769
