split,label,pos,count,percentage
test,0,ADJ,136,3.795701925760536
test,0,ADP,383,10.689366452693275
test,0,ADV,92,2.567680714485068
test,0,AUX,327,9.126430365615406
test,0,CCONJ,186,5.191180574937204
test,0,DET,515,14.373430086519676
test,0,INTJ,31,0.8651967624895339
test,0,NUM,36,1.0047446274072007
test,0,PART,63,1.758303097962601
test,0,PRON,334,9.32179737650014
test,0,PROPN,774,21.602009489254815
test,0,PUNCT,174,4.856265699134803
test,0,SCONJ,55,1.5350265140943344
test,0,VERB,477,13.31286631314541
test,1,ADJ,83,2.562519296079037
test,1,ADP,273,8.428527323247916
test,1,ADV,121,3.7357209015128126
test,1,AUX,240,7.409694350108058
test,1,CCONJ,123,3.7974683544303796
test,1,DET,326,10.064834825563446
test,1,INTJ,58,1.7906761346094473
test,1,NUM,17,0.5248533497993207
test,1,PART,83,2.562519296079037
test,1,PRON,409,12.627354121642481
test,1,PROPN,774,23.89626427909849
test,1,PUNCT,243,7.502315529484409
test,1,SCONJ,40,1.234949058351343
test,1,VERB,445,13.738808274158691
test,1,X,4,0.1234949058351343
train,0,ADJ,264,3.3303898069887725
train,0,ADP,833,10.508389050081998
train,0,ADV,208,2.6239434842941844
train,0,AUX,716,9.03242084016652
train,0,CCONJ,299,3.77191875867289
train,0,DET,1119,14.116311340986503
train,0,INTJ,92,1.1605903872839662
train,0,NUM,74,0.9335183549892772
train,0,PART,150,1.8922669357890753
train,0,PRON,838,10.571464614608301
train,0,PROPN,1761,22.215213826163744
train,0,PUNCT,402,5.071275387914722
train,0,SCONJ,109,1.3750473066733948
train,0,VERB,1060,13.372019679576132
train,0,X,2,0.025230225810521003
train,1,ADJ,170,2.3316417501028663
train,1,ADP,596,8.17446166506652
train,1,ADV,283,3.8814977369359482
train,1,AUX,512,7.022356329721575
train,1,CCONJ,281,3.8540666575229734
train,1,DET,773,10.602112193114799
train,1,INTJ,112,1.5361404471265945
train,1,NUM,50,0.6857769853243725
train,1,PART,112,1.5361404471265945
train,1,PRON,882,12.097106021121931
train,1,PROPN,1849,25.360032917295296
train,1,PUNCT,684,9.381429159237417
train,1,SCONJ,76,1.0423810176930461
train,1,VERB,904,12.398847894664655
train,1,X,7,0.09600877794541215
