split,label,pos,count,percentage
test,0,ADJ,136,3.5315502466891715
test,0,ADP,383,9.945468709426123
test,0,ADV,92,2.388989872760322
test,0,AUX,327,8.491300960789406
test,0,CCONJ,186,4.829914307971955
test,0,DET,515,13.373149831212672
test,0,INTJ,31,0.8049857179953259
test,0,NOUN,602,15.632303297844716
test,0,NUM,36,0.9348221241236042
test,0,PART,63,1.6359387172163073
test,0,PROPN,774,20.098675668657492
test,0,PUNCT,174,4.518306933264087
test,0,SCONJ,55,1.428200467411062
test,0,VERB,477,12.386393144637756
test,1,ADJ,83,2.5452315240723706
test,1,ADP,273,8.371665133394664
test,1,ADV,121,3.710518245936829
test,1,AUX,240,7.359705611775529
test,1,CCONJ,123,3.7718491260349585
test,1,DET,326,9.996933455995093
test,1,INTJ,58,1.7785955228457528
test,1,NOUN,431,13.216804661146888
test,1,NUM,17,0.5213124808341
test,1,PART,83,2.5452315240723706
test,1,PROPN,774,23.73505059797608
test,1,PUNCT,243,7.451701931922723
test,1,SCONJ,40,1.226617601962588
test,1,VERB,445,13.646120821833794
test,1,X,4,0.12266176019625881
train,0,ADJ,264,3.1391200951248512
train,0,ADP,833,9.90487514863258
train,0,ADV,208,2.4732461355529134
train,0,AUX,716,8.513674197384066
train,0,CCONJ,299,3.5552913198573126
train,0,DET,1119,13.305588585017835
train,0,INTJ,92,1.093935790725327
train,0,NOUN,1321,15.707491082045184
train,0,NUM,74,0.8799048751486326
train,0,PART,150,1.78359096313912
train,0,PROPN,1761,20.93935790725327
train,0,PUNCT,402,4.780023781212842
train,0,SCONJ,109,1.2960760998810938
train,0,VERB,1060,12.604042806183115
train,0,X,2,0.023781212841854936
train,1,ADJ,170,2.293887464579679
train,1,ADP,596,8.042099581702875
train,1,ADV,283,3.8186479557414654
train,1,AUX,512,6.908649305087033
train,1,CCONJ,281,3.7916610443934693
train,1,DET,773,10.43044123600054
train,1,INTJ,112,1.5112670354877884
train,1,NOUN,1002,13.520442585346107
train,1,NUM,50,0.6746727836999056
train,1,PART,112,1.5112670354877884
train,1,PROPN,1849,24.94939954122251
train,1,PUNCT,684,9.229523681014708
train,1,SCONJ,76,1.0255026312238564
train,1,VERB,904,12.198083929294292
train,1,X,7,0.09445418971798678
