split,label,pos,count,percentage
test,0,ADJ,136,3.667745415318231
test,0,ADP,383,10.329018338727076
test,0,ADV,92,2.481121898597627
test,0,AUX,327,8.818770226537216
test,0,CCONJ,186,5.016181229773463
test,0,DET,515,13.88888888888889
test,0,INTJ,31,0.8360302049622438
test,0,NOUN,602,16.23516720604099
test,0,NUM,36,0.970873786407767
test,0,PART,63,1.6990291262135921
test,0,PRON,334,9.00755124056095
test,0,PROPN,774,20.87378640776699
test,0,PUNCT,174,4.692556634304207
test,0,SCONJ,55,1.483279395900755
test,1,ADJ,83,2.5736434108527133
test,1,ADP,273,8.465116279069768
test,1,ADV,121,3.751937984496124
test,1,AUX,240,7.441860465116279
test,1,CCONJ,123,3.813953488372093
test,1,DET,326,10.108527131782946
test,1,INTJ,58,1.7984496124031009
test,1,NOUN,431,13.364341085271318
test,1,NUM,17,0.5271317829457365
test,1,PART,83,2.5736434108527133
test,1,PRON,409,12.682170542635658
test,1,PROPN,774,24.0
test,1,PUNCT,243,7.534883720930233
test,1,SCONJ,40,1.2403100775193798
test,1,X,4,0.12403100775193798
train,0,ADJ,264,3.2242305813385443
train,0,ADP,833,10.17342452369321
train,0,ADV,208,2.5403028822667317
train,0,AUX,716,8.744504152418173
train,0,CCONJ,299,3.651685393258427
train,0,DET,1119,13.666340986809965
train,0,INTJ,92,1.1235955056179776
train,0,NOUN,1321,16.133365901319003
train,0,NUM,74,0.903761602344895
train,0,PART,150,1.8319491939423547
train,0,PRON,838,10.234489496824622
train,0,PROPN,1761,21.507083536883243
train,0,PUNCT,402,4.90962383976551
train,0,SCONJ,109,1.3312164142647778
train,0,X,2,0.024425989252564728
train,1,ADJ,170,2.3007172824468807
train,1,ADP,596,8.066044119637299
train,1,ADV,283,3.8300175937203953
train,1,AUX,512,6.929219109487075
train,1,CCONJ,281,3.8029503315739612
train,1,DET,773,10.461496819596698
train,1,INTJ,112,1.5157666802002978
train,1,NOUN,1002,13.560698335363378
train,1,NUM,50,0.6766815536608473
train,1,PART,112,1.5157666802002978
train,1,PRON,882,11.936662606577345
train,1,PROPN,1849,25.02368385437813
train,1,PUNCT,684,9.257003654080389
train,1,SCONJ,76,1.0285559615644877
train,1,X,7,0.09473541751251861
